pmcid	unmapped_diseases
PMC10748393	['covid-19-induced acute lung disease']
PMC10748605	['bone metastasis']
PMC10748632	['liver injury']
PMC10749591	['hypoxic ischemic brain injury']
PMC10750123	['microvascular obstruction']
PMC10750158	['human immunodeficiency virus type one']
PMC10750193	['er?-negative tumors']
PMC10750285	['type 2 diabetic nephropathy']
PMC10750286	['skin hyperpigmentation']
PMC10750292	['neuropathic cancer pain']
PMC10750331	['muscle contusion']
PMC10750334	['large bone defects']
PMC10750341	['transformed follicular lymphoma']
PMC10750358	['non-ventilated hospital-acquired pneumonia']
PMC10751913	['polymicrobial biofilm-associated infections', 'peritoneal septicemia']
PMC10751915	['advanced solid tumors']
PMC10752453	['vascular thrombosis', 'massive hemorrhage']
PMC10752756	['fecal peritonitis']
PMC10752893	['vascular endothelial damage']
PMC10753364	['acute ethanol-induced cardiotoxicity']
PMC10754086	['fracture pain', 'bone trauma']
PMC10754126	['acinetobacter baumanii burn infection']
PMC10754973	['plaque psoriasis', 'generalized pustular psoriasis']
PMC10754995	['thromboembolic events']
PMC10755502	['skin infection']
PMC10755728	['pseudomonas aeruginosa lung infections']
PMC10755873	['corneal alkali burns']
PMC10756086	['vaginal atrophy']
PMC10756091	['kidney injury', 'reproductive injury']
PMC10756105	['lung emphysema']
PMC10756291	['myocardial injury']
PMC10756534	['nipah virus disease']
PMC10756673	['opioid-induced respiratory depression']
PMC10757424	['craniofacial anomalies']
PMC10757613	['constipation-predominant irritable bowel syndrome']
PMC10758111	['small-cell lung cancer']
PMC10758166	['wound healing']
PMC10758289	['brca-mutant high-grade serous ovarian carcinoma']
PMC10758343	['mucosa-associated c. albicans infections', 'mucosal candidiasis']
PMC10758544	['peri-prosthetic osteolysis']
PMC10758688	['estrogen receptor-positive breast cancer']
PMC10758968	['dental pulp inflammation']
PMC10759039	['ischemic brain']
PMC10759242	['cardiac fibrosis', 'chronic diabetes']
PMC10759436	['hypoxia-induced lung injury']
PMC10760067	['lactation insufficiency']
PMC10760082	['chronic neuropathic pain']
PMC10760204	['chlamydia respiratory infection']
PMC10760308	['hiv-associated neurocognitive disorder']
PMC10760533	['renal injury']
PMC10760580	['postoperative intraabdominal adhesion formation']
PMC10760961	['myeloid malignancies']
PMC10760974	['hypertensive kidney disease']
PMC10761103	['sepsis-induced acute kidney injury']
PMC10761208	['mrsa-infected wounds']
PMC10761454	['diabetes-associated atherosclerosis']
PMC10761578	['doxorubicin-induced cardiotoxicity']
PMC10761684	['solid tumors']
PMC10761791	['wound healing']
PMC10761889	['obesity-associated non-alcoholic fatty liver disease']
PMC10761904	['atherosclerotic coronary artery disease']
PMC10761933	['melanoma brain metastases']
PMC10761972	['ischemic acute kidney injury']
PMC10761994	['hepatic osteodystrophy']
PMC10762276	['pm2.5-induced lung injuries']
PMC10762313	['acinetobacter baumannii infections']
PMC10762337	['cd30-expressing lymphomas']
PMC10762339	['b-cell malignancies', 'inflammatory diseases']
PMC10763621	['inflammatory pain', 'chronic allodynia']
PMC10763629	['neurogenic myopathies']
PMC10763766	['skin wounds']
PMC10763776	['postoperative intraabdominal adhesion']
PMC10763831	['sepsis-induced acute kidney injury']
PMC10763866	['age-associated memory decline']
PMC10764357	['diffuse midline glioma']
PMC10764392	['sepsis-induced acute kidney injury']
PMC10764393	['vocal fold injury']
PMC10764880	['burn wound infections']
PMC10765060	['acetaminophen-induced acute liver injury']
PMC10765115	['vanishing white matter']
PMC10765930	['coronary microembolization']
PMC10766099	['radiation brain injury']
PMC10766115	['psychostimulant use disorders']
PMC10766325	['epithelial cancers']
PMC10766391	['aneuploid cancers']
PMC10766764	['chemotherapy-induced peripheral neuropathy']
PMC10767287	['gastric leaks']
PMC10767409	['severe abdominal trauma']
PMC10767442	['skin fibrosis', 'pyroptosis-related diseases']
PMC10768366	['attention impairment']
PMC10768373	['retinal fibrosis']
PMC10768659	['sepsis-associated acute kidney injury']
PMC10768679	['acrylamide-induced toxicity']
PMC10768700	['fundus neovascularization']
PMC10768784	['severe thermal burns']
PMC10769272	['leptomeningeal disease']
PMC10769417	['diabetic neuropathic pain']
PMC10769612	['spontaneous hypertension', 'myocardial hypertrophy']
PMC10770053	['chronic heart failure']
PMC10770270	['hemorrhagic transformation']
PMC10770392	['diabetic male infertility']
PMC10770536	['idiopathic nephrotic syndrome']
PMC10771108	['arthroplasty prosthesis loosening and destabilization', 'osteoclast-associated inflammatory osteolytic disease']
PMC10771366	['testiculopathy']
PMC10771487	['methicillin-resistant staphylococcus aureus infection']
PMC10771734	['sepsis-induced acute lung injury']
PMC10772049	['acute gastric ulcer']
PMC10772295	['inherited retinal dystrophies']
PMC10772347	['systemic inflammation']
PMC10772348	['cutaneous neurofibromas']
PMC10772350	['cancer cachexia']
PMC10772393	['alcohol-related liver disease']
PMC10772648	['sepsis-associated acute kidney injury']
PMC10772734	['pediatric b cell precursor acute lymphoblastic leukemia']
PMC10773046	['radiation-induced skin fibrosis']
PMC10773052	['type 2 diabetic osteoporosis']
PMC107739	['spinal cord ischemic injury']
PMC10774174	['steroid-induced osteonecrosis of the femoral head']
PMC10774374	['anxiety and trauma-related disorders']
PMC10775399	['primary open-angle glaucoma']
PMC10776083	['salt-sensitive hypertension-induced kidney injury']
PMC10776359	['diabetic wounds']
PMC10776756	['doxorubicin-induced cardiotoxicity']
PMC10777313	['chronic hbv infection']
PMC10777848	['acinetobacter baumannii infection']
PMC10777851	['infections caused by enterobacteriaceae']
PMC10777876	['vasoproliferative eye disease']
PMC10777911	['heart failure with reduced ejection fraction']
PMC10778734	['radiation-induced intestinal dysfunction']
PMC10778753	['hepatic ischemia/reperfusion injury']
PMC10778875	['hepatitis b-related hepatocellular carcinoma']
PMC10778952	['tumor development']
PMC10778977	['end-of-life anxiety', 'anxiety symptoms']
PMC10779046	['acute liver damage']
PMC10779272	['cutaneous wound healing']
PMC10779923	['aging-related diseases']
PMC10779996	['inflammatory pain']
PMC10780202	['cerebral ischemic stroke']
PMC10780727	['renal injury']
PMC10780734	['liver injury']
PMC10781158	['arterial hypertension']
PMC10781478	['cancer cachexia']
PMC10781492	['post-operative cognitive dysfunction']
PMC10781502	['renal ischemia-reperfusion injury']
PMC10781521	['staphylococcus aureus biofilm-associated infection']
PMC10781693	['diabetic peripheral neuropathy']
PMC10781952	['acute graft-versus-host disease']
PMC10782962	['uncomplicated urinary tract infections']
PMC10783087	['nontuberculous mycobacterial infections']
PMC10783142	['colistin-resistant acinetobacter baumannii infections', 'colistin-resistant escherichia coli infections']
PMC10783696	['spinal paralysis']
PMC107837	['myocardial ischaemic injury', 'cardiovascular diseases associated with endothelial dysfunction']
PMC10785007	['tetramethylenedisulfotetramine poisoning']
PMC10785151	['myocardial fibrosis']
PMC10785155	['hippocampal neurotoxicity']
PMC10785475	['spinal cord ischemia-reperfusion injury']
PMC10785662	['multiple cancers']
PMC10785664	['nonsmall-cell lung carcinoma']
PMC10785744	['liver damage']
PMC10786182	['chronic inflammatory pain']
PMC10786304	['nontuberculous mycobacterial infections']
PMC10786699	['urothelial carcinoma of the bladder']
PMC10786700	['cyclic nucleotide-mediated secretory diarrheas']
PMC10786746	['chronic cerebral hypoperfusion-induced cognitive impairment', 'ischemic cerebrovascular diseases']
PMC10786789	['5-fu cardiotoxicity']
PMC10786885	['schwann cell tumors']
PMC10786974	['skin fungal ailments']
PMC10787095	['infections caused by enterobacterales producing new delhi metallo???lactamases']
PMC10787223	['metastatic malignant melanoma']
PMC10787226	['brain vascular inflammation']
PMC10787601	['metastatic melanoma']
PMC10788227	['chronic autoimmune diseases']
PMC10788267	['inherited gpi deficiency']
PMC10788731	['bone cancer pain']
PMC10788799	['b cell malignancies']
PMC10788854	['peritonitis-sepsis']
PMC10788870	['nontuberculous mycobacterium avium infections']
PMC10788895	['inflammatory diseases']
PMC10788911	['methicillin-resistant staphylococcus aureus infection']
PMC10789621	['acute t cell-mediated rejection following renal transplantation']
PMC10790286	['kidney damage']
PMC10790474	['folic acid nephropathy']
PMC10790489	['dental pulp damage']
PMC10790657	['myocardial ischemia-reperfusion injury']
PMC10790764	['viral lower respiratory tract disease']
PMC10791145	['paclitaxel-induced peripheral neuropathy']
PMC10791735	['sepsis-induced acute kidney injury']
PMC10791796	['primary hepatic carcinoma']
PMC10791853	['aging']
PMC10791926	['gastric hyperacidity']
PMC10792006	['calcific aortic valve disease']
PMC10792879	['degenerative cervical myelopathy']
PMC10792973	['metastatic lung cancer']
PMC10792985	['infected bone defects']
PMC10793100	['advanced liver cancer']
PMC10793101	['acetaminophen-induced liver injury']
PMC10793102	['inflammatory diseases']
PMC10793666	['cocaine use disorder']
PMC10794144	['invasive infections due to carbapenem-resistant acinetobacter baumannii']
PMC10794237	['nafld liver steatosis']
PMC10794433	['multi drug resistant bacterial infections']
PMC10794918	['chronic non-bacterial prostatitis']
PMC10794982	['acute postsurgical pain']
PMC10795119	['acute liver damage']
PMC10795167	['covid-19-associated acute kidney injury']
PMC10795337	['chronic non-bacterial prostatitis']
PMC10796399	['candida auris infections']
PMC10796660	['addiction']
PMC10797013	['inflammatory acne']
PMC10797231	['hepatic ischemia/reperfusion injury']
PMC10797247	['radiation-induced pulmonary fibrosis']
PMC10797330	['bacterial infections from chronic wounds']
PMC10797419	['auditory neuropathy']
PMC10797555	['systemic bone loss disorders']
PMC10797746	['chronic heart failure']
PMC10797925	['bone defect']
PMC10798156	['cholestatic liver disease']
PMC10798159	['solid tumor']
PMC10798990	['addiction']
PMC10799151	['lung cancer brain metastasis']
PMC10799159	['intestinal ischemia-reperfusion injury']
PMC10799233	['obesity-associated asthma']
PMC10799454	['lumbar intervertebral disc degeneration']
PMC10799508	['chronic migraine', 'frequent episodic migraine']
PMC10799631	['brain metastatic melanomas']
PMC10799649	['attention-deficit/hyperactivity disorder']
PMC10799709	['inflammatory diseases', 'inflammatory skin diseases']
PMC10800002	['l-dopa-induced dyskinesia']
PMC10800258	['poststroke depression', 'poststroke anxiety']
PMC10800269	['intracerebral haemorrhage']
PMC10800355	['valproic acid-induced bone loss']
PMC10800412	['solid tumors']
PMC10800975	['treatment-resistant temporal lobe epilepsy']
PMC10801052	['abdominal sepsis']
PMC10801309	['diabetes-associated stroke']
PMC10801330	['tracheal anastomotic complications']
PMC10801736	['organophosphate intoxication']
PMC10801748	['cutaneous injuries']
PMC10801753	['gulf war illness']
PMC10801762	['refractory status epilepticus', 'organophosphate and chemical nerve agent intoxication']
PMC10801781	['sarin-induced neuroinflammation']
PMC10801786	['inflammatory pain']
PMC10801845	['non-ischemic cardiomyopathy']
PMC10802046	['cognitive impairment associated with diabetes']
PMC10802098	['primary hyperoxaluria type i']
PMC10802287	['streptococcus pyogenes skin and soft tissue infection']
PMC10802418	['ovarian aging']
PMC10803394	['ehrlich solid adenocarcinoma']
PMC10803452	['nephrotoxicity']
PMC10803591	['liver ischemia-reperfusion injury']
PMC10804096	['myocardial fibrosis']
PMC10804162	['transthyretin cardiac amyloidosis']
PMC10804355	['cholestatic liver diseases']
PMC10804557	['hypoxia-ischemia encephalopathy of the newborn']
PMC10804610	['non-typhoidal salmonella infection']
PMC10804659	['braf wild-type melanoma']
PMC10804914	['radiation-induced bone loss']
PMC10805083	['gnb1 encephalopathy']
PMC10805085	['classic late infantile neuronal ceroid lipofuscinosis']
PMC10805332	['corneal alkali burns']
PMC10805385	['kras-mutant non-small cell lung cancer']
PMC10805444	['hypoxic-ischemic brain damage']
PMC10805491	['pathological cardiac hypertrophy']
PMC10805492	['contrast?induced nephropathy']
PMC10806266	['cardiovascular toxicity']
PMC10806270	['diabetic foot ulcers']
PMC10806334	['bone defects']
PMC10807581	['oesophageal squamous carcinoma']
PMC10807713	['secondary lymphedema']
PMC10807719	['cisplatin-induced hearing loss']
PMC10807731	['intervertebral degenerative disc disease']
PMC10807780	['cancer therapy-related diarrhea']
PMC10807862	['volumetric muscle loss']
PMC10808174	['contrast-induced acute kidney injury']
PMC10808519	['cryptococcal infections']
PMC10809290	['diabetic wounds']
PMC10809567	['cholestatic liver diseases']
PMC10809744	['inflammatory pain']
PMC10810024	['alcohol-induced oxidative stress']
PMC10811083	['vancomycin-resistant staphylococcus aureus infection']
PMC10811212	['squamous cell lung cancer']
PMC10811527	['renal complications']
PMC10811836	['lymphoma cancer']
PMC10812466	['doxorubicin-induced cardiotoxicity']
PMC10812504	['arteriovenous fistula failure']
PMC10812520	['infectious pancreatitis']
PMC10812749	['embryo loss during pregnancy']
PMC10813019	['acute t-lymphoblastic leukemia']
PMC10813153	['third-degree burn injuries']
PMC10813385	['endocrine-resistant breast cancer']
PMC10813405	['escherichia coli-induced enteritis']
PMC10813574	['alk-positive metastatic non-small cell lung cancer']
PMC10814253	['acute liver damage']
PMC10814512	['metastatic melanoma']
PMC10815626	['fracture healing in the aged']
PMC10815701	['pregnancy loss', 'defective implantation']
PMC10816262	['diabetic peripheral neuropathy']
PMC10817537	['common fungal infection']
PMC10817896	['osteonecrosis of the femoral head']
PMC10817945	['biofilm-associated mrsa and mssa infections']
PMC10818158	['slc26a2-related chondrodysplasia']
PMC10818580	['chemotherapy-induced peripheral neuropathy']
PMC10818746	['cardiovascular dysfunction', 'new coronary pneumonia']
PMC10819093	['hiv-1']
PMC10819247	['hiv']
PMC10819482	['metastatic renal cell carcinoma']
PMC10819626	['skin trauma']
PMC10819721	['osteochondral defects']
PMC10819804	['rhabdomyolysis-induced acute kidney injury']
PMC10820112	['community-acquired bacterial pneumonia', 'hospital-acquired bacterial pneumonia', 'ventilator-associated bacterial pneumonia', 'complicated urinary tract infection', 'complicated intra-abdominal infection', 'acute bacterial skin and structural infections']
PMC10820129	['solid ehrlich carcinoma-induced hepatic damage']
PMC10820430	['paclitaxel-resistant non-small-cell lung cancer']
PMC10820450	['human respiratory syncytial virus infection']
PMC10820573	['salivary gland dysfunction']
PMC10820845	['solid tumors']
PMC10821074	['severe malaria']
PMC10821095	['advanced colorectal carcinoma']
PMC10821286	['subcutaneous abscess']
PMC10821343	['isoniazid-induced liver injury']
PMC10821351	['influenza a', 'influenza a']
PMC10821445	['chemotherapy-induced peripheral neuropathy']
PMC10821576	['diminished ovarian reserve']
PMC10821808	['hypertensive diabetic nephropathy']
PMC10822833	['rhabdomyolysis-induced acute kidney injury']
PMC10822938	['treatment-resistant glioblastoma']
PMC10823279	['castration?resistant prostate cancer']
PMC10823591	['diabetic wounds']
PMC10823771	['cyanide poisoning']
PMC10823877	['neuroendocrine prostate cancer']
PMC10824083	['doxorubicin-induced cardiotoxicity']
PMC10824666	['high-grade serous ovarian cancer']
PMC10824671	['prosthetic joint infections']
PMC10824822	['diabetic foot ulcers']
PMC10824912	['acute hearing loss']
PMC10824998	['cocaine use disorder']
PMC10825164	['peripheral ischemia']
PMC10825440	['cardiac remodeling']
PMC10826079	['kras/lkb1 co-mutated lung adenocarcinoma']
PMC10826082	['septic cardiomyopathy']
PMC10826434	['cardiac ischemia/reperfusion injury']
PMC10826880	['diabetic ulcers']
PMC10826936	['fanconi anemia-mutated acute myeloid leukemia']
PMC10826971	['familial amyotrophic lateral sclerosis']
PMC10827367	['renal injury']
PMC10827549	['doxorubicin-induced cardiomyopathy']
PMC10827726	['benign esophageal stenosis']
PMC10828086	['in-stent restenosis']
PMC10828129	['cutaneous wound']
PMC10828177	['age-related neurocognitive disorders']
PMC10828270	['aging-associated cognitive decline']
PMC10829278	['metastatic renal cell carcinoma']
PMC10829547	['dental pulp injury']
PMC10829794	['severe acute respiratory syndrome coronavirus']
PMC10829871	['solid tumors']
PMC10831246	['septic acute kidney injury']
PMC10831334	['myeloproliferative neoplasms']
PMC10831471	['tumor progression']
PMC10831491	['hepatic toxicity']
PMC10831614	['alcoholic gastric ulcers']
PMC10831771	['kidney damage']
PMC10831815	['arthrofibrosis']
PMC10832058	['discogenic pain']
PMC10832091	['infection during total knee arthroplasty']
PMC10832208	['malaria-associated acute lung injury']
PMC10832541	['mrsa infection']
PMC10832598	['non-tuberculous mycobacteria infections']
PMC10833190	['hypoxic-ischemic brain damage']
PMC10833561	['hiv-1']
PMC10834097	['endodontic-periodontal complex lesions']
PMC10834243	"[""alzheimer's""]"
PMC10834314	['muscle wasting diseases']
PMC10834327	['cachexia-induced skeletal muscle atrophy', 'aging-induced skeletal muscle atrophy']
PMC10834620	['diabetic sarcopenia']
PMC10834654	['myocardial ischemia-reperfusion injury']
PMC10834963	['neuroinflammatory and neurodegenerative diseases']
PMC10835005	['infected bone defects']
PMC10835481	['hepatocellular carcinoma secondary to metabolic-dysfunction associated steatotic liver disease']
PMC10835551	['doxorubicin cardiotoxicity']
PMC10835558	['sepsis-induced liver injury']
PMC10835568	['cerebral ischemia-reperfusion injury']
PMC10836028	['mechanical trauma-induced hepatic injury']
PMC10836038	['interstitial cystitis/bladder pain syndrome']
PMC10836110	"[""non-hodgkin's burkitt's lymphoma""]"
PMC10836417	['remifentanil-induced hyperalgesia']
PMC10836730	['brain ribosomopathies']
PMC10837073	['metastatic acral lentiginous melanoma']
PMC10837152	['fibrotic scarring', 'intubation injury']
PMC10837186	['relapsed/refractory acute lymphoblastic leukemia']
PMC10837194	['neuroendocrine prostate cancer']
PMC10837223	['atrial arrhythmias']
PMC10837255	['cardiac microvascular ischemia-reperfusion injury']
PMC10837356	['pulmonary metastasis']
PMC10837563	['cyclosporine-induced reproductive impairment']
PMC10837915	['acute colitis']
PMC10838240	['alcohol-induced cardiovascular diseases']
PMC10966437	['hiv']
PMC11022498	['hiv-1 infection']
PMC11100975	['psychostimulant use disorders']
PMC1156872	['colitis-related colon cancer']
PMC1156958	['pancreatic adenocarcinomas']
PMC1156963	['tacaribe virus infection']
PMC116434	['lung tumor']
PMC1166555	['schistosoma mansoni caused liver fibrosis']
PMC1187915	['autoimmune dacryoadenitis']
PMC1190175	['acute inflammation']
PMC1199625	['chronic airway diseases']
PMC1241858	['lead-induced neurotoxicity']
PMC1242150	['hormone-independent breast cancer']
PMC126222	['systemic anaphylactic reactions']
PMC1266394	['diabetic-hypercholesterolemia']
PMC1274316	['staphylococcus epidermidis graft infection']
PMC1277829	['chronic human sepsis']
PMC1297565	['autoimmune arthritis']
PMC1334207	['mesenteric occlusive diseases']
PMC1343584	['human immunodeficiency virus-1 infection']
PMC1360103	['bone metastases']
PMC1360669	['attention deficit/hyperactivity disorder']
PMC1363724	['attention deficit/hyperactivity disorder']
PMC1382240	['hepatic ischemia-reperfusion injury']
PMC1397846	['urosepsis']
PMC1410767	['mammary carcinogenesis']
PMC1435787	['prenatal alcohol-induced brain damage']
PMC1440769	['lead intoxication']
PMC1458349	['catheter-related sepsis']
PMC1459145	['influenza a h5n1 virus infection']
PMC1471776	['arthritic pain']
PMC1475846	['hyperoxia-induced lung injury']
PMC1501003	['lead intoxication']
PMC1501117	['wound healing']
PMC1502138	['adenovirus keratoconjunctivitis']
PMC1524794	['attention-deficit/hyperactivity disorder']
PMC1525219	['brca1/2-associated breast cancers']
PMC1533084	['methylmercury poisoning']
PMC1534051	['spinal cord ischemia/reperfusion injury']
PMC1550918	['ischemia/reperfusion-induced lung injury']
PMC1550934	['vasodilatory shock']
PMC1552087	['peritoneal carcinomatosis from colorectal cancer']
PMC1553469	['lymphoblastic b-cell lymphoma']
PMC1557502	['osteonecrosis of the knee', 'osteonecrosis of the hip', 'delayed union', 'periprosthetic osteolysis']
PMC156636	['petit mal seizures', 'grand mal seizures']
PMC1566643	['chronic arthritis']
PMC1567001	['postischemic reperfusion injury']
PMC1567004	['hyperoxic lung injury']
PMC1568183	['acute cadmium intoxication']
PMC1568314	['pulmonary toxicity']
PMC1568328	['inhalational pulmonary injuries']
PMC1574339	['anogenital cancers']
PMC1579244	['severe malaria']
PMC1581471	['chlamydia trachomatis infection']
PMC1592340	['early-onset retinal dystrophy']
PMC1592581	['tubulointerstitial inflammation', 'tubulointerstitial fibrosis']
PMC1630718	['hiv']
PMC1635969	['menopausal hot flushes']
PMC1637110	['vaginal candidiasis']
PMC1637255	['methylene chloride poisoning', 'chlorinated solvents poisoning', 'fluorocarbons poisoning']
PMC165000	['squamous cell head and neck carcinoma']
PMC1654181	['nitrate tolerance']
PMC165580	['neurological dysfunction subsequent to cerebral flow disturbances']
PMC1657077	['cerebral ischemia-reperfusion injury']
PMC1660546	['doxorubicin-resistant cancer']
PMC1661641	['stress urinary incontinence']
PMC1687144	['burn wounds']
PMC1687192	['hiv']
PMC1764416	['attention-deficit/hyperactivity disorder']
PMC1769512	['human immunodeficiency virus type 1']
PMC1775068	['symptomatic uterine leiomyomata']
PMC1779410	['anti-collagen type ii antibody-induced arthritis']
PMC1781621	['chronic airway inflammatory diseases']
PMC1781671	['inflammatory diseases']
PMC1781695	['influenza virus pneumonia']
PMC1781737	['allergic disorders']
PMC1781739	['allergic diseases']
PMC1781752	['allergic bronchoconstriction']
PMC1784079	['autoimmune nephritis']
PMC1784656	['ascending bacterial infection in pregnancy']
PMC1790862	['organ transplant rejection']
PMC1801076	['prostatic carcinoma']
PMC1831484	['metastatic brain tumor']
PMC1851714	['ligament injury']
PMC1852278	['chlamydia trachomatis genital tract infection']
PMC1852805	['hiv-1 infection']
PMC1853324	['chronic wounds']
PMC1867857	['renal ischemia/reperfusion injury']
PMC1868754	['human immunodeficiency virus']
PMC1868755	['inflammatory lung diseases']
PMC1880850	['h5n1 influenza']
PMC1885256	['influenza infection']
PMC1891101	['bladder superficial carcinoma']
PMC1891106	['bone healing']
PMC1891279	['arthritic pain']
PMC1891436	['small b cell lymphoma']
PMC1892056	['preterm labour']
PMC1892644	['acute liver damage']
PMC1904180	['human papillomavirus related cancer']
PMC1915588	['cutaneous wound healing']
PMC1915592	['pathological impulsivity']
PMC1915617	['memory impairment']
PMC1925140	['hiv-1 infection']
PMC1929059	['visceral hyperalgesia']
PMC1939843	['human parainfluenza virus type 1']
PMC1939854	['pancreatic adenocarcinomas']
PMC1945018	['adhesion formation']
PMC1950214	['delayed fracture healing']
PMC1950441	['myocardial ischemia and reperfusion injury']
PMC1950521	['partial complex epilepsy']
PMC1968181	['vulval carcinoma']
PMC1968215	['blood-borne liver metastasis']
PMC1968437	['mammary tumours']
PMC1968547	['tumour hypoxia']
PMC1968603	['cancer-associated anaemia']
PMC1968696	['t-cell acute lymphoblastic leukaemia']
PMC1968708	['peritoneal solid tumours']
PMC1968828	['lewis lung tumour', 'rif-1 tumour']
PMC1968886	['metastatic germ cell tumours']
PMC1968893	['tumours']
PMC1968907	['tumour']
PMC1971275	['erythroleukaemia']
PMC1971346	['cytotoxic induced vomiting', 'radiation induced vomiting']
PMC1971439	['cachexia accompanying the acquired immunodeficiency syndrome']
PMC1971565	['liver metastasis']
PMC1971579	['tumours']
PMC1971605	['colon tumour']
PMC1971643	['colon tumour']
PMC1971644	['mammary carcinomas']
PMC1971695	['gonadotoxicity']
PMC1971790	['cisplatin-induced renal dysfunction']
PMC1972360	['colon tumours']
PMC1972389	['lymphoid malignancy']
PMC1972557	['metastatic liver cancer']
PMC1975776	['systemic hypertension']
PMC1976780	['small-cell lung cancer']
PMC1976998	['mammary tumorigenesis', 'pituitary tumorigenesis']
PMC1977014	['liver metastases']
PMC1977232	['ascites tumours']
PMC1977342	['multidrug-resistant tumour']
PMC1977450	['liver metastasis from colorectal carcinoma']
PMC1977507	['liver metastases']
PMC1977534	['leukaemia']
PMC1977605	['hepatic metastases']
PMC1977659	['hypopharynx carcinoma']
PMC1977750	['malignant tumours']
PMC1977787	['gastrointestinal tumour']
PMC1977830	['solid tumours']
PMC1977840	['leukaemia']
PMC1977856	['leukaemia']
PMC1977872	['liver tumours']
PMC1977900	['multidrug resistance']
PMC1977931	['dysplasia in the upper gastrointestinal tract']
PMC1977960	['leukaemia']
PMC1977982	['pulmonary metastases']
PMC1978030	['meningeal gliomatosis']
PMC1978052	['liver metastasis']
PMC2001363	['human primary liver cell carcinoma']
PMC2001399	['mammary tumour']
PMC2001401	['ascites tumours']
PMC2001488	['large bowel cancer']
PMC2001538	['anthracycline cardiotoxicity']
PMC2001576	['tumours']
PMC2001658	['malignant tumours']
PMC2001712	['malignant tumours']
PMC2001766	['hepatocarcinoma']
PMC2001878	['tumours']
PMC2001891	['hepatic tumours']
PMC2002191	['leukaemia']
PMC2008431	['tumour']
PMC2008436	['sarcomata']
PMC2009199	['human tumours']
PMC2009364	['mammary carcinomata']
PMC2009375	['superficial transitional cell carcinoma of the bladder']
PMC2009408	['tumours']
PMC2009633	['solid tumour']
PMC2009638	['solid tumour']
PMC2009932	['erythroleukaemia']
PMC2010030	['skeletal metastases']
PMC2010452	['tumours']
PMC2010533	['prostatic adenocarcinoma']
PMC2010556	['leukaemia']
PMC2010824	['germ-cell tumours']
PMC2011070	['leukaemia']
PMC2011106	['tumour']
PMC2011190	['melanotic melanomas']
PMC2011256	['ovarian sarcoma', 'colon tumor', 'ascitic sarcoma']
PMC2011364	['leukaemia']
PMC2011555	['malignant brain tumours']
PMC2024762	['mammary adenocarcinomata']
PMC2024893	['leukaemia']
PMC2024956	['hypoxic tumours']
PMC2024993	['lung tumour']
PMC2025119	['acute leukaemias']
PMC2025176	['solid tumour']
PMC2025198	['hepatocarcinoma']
PMC2025308	['lung tumours']
PMC2025340	['cerebral tumour']
PMC2025495	['leukaemia']
PMC2033321	['soft-tissue sarcomas']
PMC2033371	['cerebral glioma']
PMC2033546	['small-cell lung carcinoma']
PMC2033562	['mammary tumour']
PMC2033585	['metastatic melanoma']
PMC2033665	['solid tumours']
PMC2033775	['hepatic metastases']
PMC2033790	['tumour']
PMC2033800	['human colon adenocarcinoma']
PMC2033862	['leukaemias', 'solid tumours']
PMC2033889	['colon tumours']
PMC2033903	['liver metastases']
PMC2033948	['lung metastasis']
PMC2034088	['common acute lymphoblastic leukaemia', 'b-cell non-hodgkin lymphoma']
PMC2039838	['peritoneal carcinomatosis of colorectal cancer']
PMC2042976	['inflammatory pain']
PMC2062947	['tumour angiogenesis']
PMC2062974	['chemotherapy-induced anaemia']
PMC2062980	['brain tumours']
PMC2063053	['gastrointestinal tumour']
PMC2063242	['soft-tissue sarcoma']
PMC2063351	['leukaemia']
PMC2074272	['leukaemia']
PMC2074451	['cerebral glioma']
PMC2074455	['ascites tumours']
PMC2074534	['rectal carcinoma']
PMC2074542	['pancreatic tumors']
PMC2074597	['leukaemia']
PMC2074606	['laryngeal tumours']
PMC2074686	['peripheral primitive neuroectodermal tumour']
PMC2074708	['intestinal malignancies']
PMC2074717	['tumour growth']
PMC2074822	['stage iii melanoma']
PMC2074833	['hepatic tumours']
PMC2077111	['tumour']
PMC2080775	['hiv-1']
PMC2100044	['superficial bladder cancer']
PMC2100369	['localized cutaneous leishmaniasis']
PMC2115493	['wound-healing']
PMC2118062	['ventricular arrhythmias']
PMC2118065	['hindlimb ischemia']
PMC2118120	['chronic viral infection']
PMC2118143	['hepatic ischemia reperfusion injury']
PMC2118212	['th1-mediated autoimmune diseases']
PMC2118228	['thromboembolic diseases']
PMC2118288	['restenosis']
PMC2118371	['immune-mediated inflammatory diseases']
PMC2118664	['inflammatory arthritis']
PMC2118794	['endotoxin lethality', 'tumor necrosis factor/cachectin lethality']
PMC2119071	['chagasic cardiomyopathy']
PMC2119351	['nephrotoxicity']
PMC2124902	['influenza cerebrospinal meningitis']
PMC2124993	['pneumococcus meningitis']
PMC2125359	['pneumococcus bacteremia']
PMC2125442	['epidemic meningitis']
PMC2125507	['uranium nephritis']
PMC2125540	['strychnine poisoning']
PMC2125792	['bacillus welchii infection']
PMC2126274	['oxalate poisoning']
PMC2126696	['trypanosome infections']
PMC2128296	['pneumococcus pleuritis', 'pneumococcus meningitis']
PMC2132177	['pneumococcus infection']
PMC2132295	['influenza meningitis']
PMC2133572	['streptococcus empyema']
PMC2135707	['rickettsial infection']
